,ID,age,height_cm,weight_kg,overall,pac,sho,pas,dri,def,phy,skill_moves,weak_foot,work_rate_att,work_rate_def,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
691,6826,36,183.0,78.0,79,32,65,79,68,78,76,2,3,Medium,Medium,80,56,74,83,65,68,78,73,74,76,30,33,43,79,60,77,70,72,76,71,80,81,58,74,72,81,77,78,77
730,213135,22,185.0,75.0,78,83,76,68,75,31,77,4,3,High,Medium,69,79,73,75,70,77,54,40,59,75,82,84,75,76,61,77,75,74,82,69,69,28,80,71,65,70,30,24,18
747,208135,24,182.0,69.0,78,66,71,73,76,74,81,2,3,High,Medium,68,70,66,82,67,78,41,42,74,80,62,69,60,73,67,75,71,81,83,74,77,78,73,77,45,70,70,79,73
757,205569,22,173.0,66.0,78,66,66,84,75,61,67,3,3,Medium,Medium,88,61,57,83,51,71,88,83,82,81,67,65,74,74,79,74,68,77,61,70,67,65,62,82,80,79,55,65,62
764,204077,22,184.0,78.0,78,89,75,69,82,26,67,4,4,High,Medium,67,70,64,72,72,84,68,66,57,82,86,92,83,70,65,86,69,73,70,74,50,30,82,75,70,70,16,24,20
776,201508,26,183.0,77.0,78,71,75,76,80,39,62,4,3,Medium,Low,74,74,57,78,71,80,79,77,73,81,73,70,83,71,68,77,66,67,57,76,69,32,75,77,73,77,31,45,39
805,195671,27,188.0,84.0,78,65,79,56,68,40,76,2,2,High,Medium,56,82,81,59,72,66,59,43,46,74,64,66,65,78,55,83,82,72,80,71,67,47,83,61,80,78,31,37,22
806,194996,24,191.0,82.0,78,62,78,59,71,29,75,2,4,Medium,Low,51,78,77,66,80,69,68,46,44,80,57,66,62,78,39,81,56,56,91,73,61,23,83,65,72,70,14,32,24
807,194932,25,181.0,73.0,78,85,75,73,80,33,63,3,4,High,Medium,77,72,52,75,59,82,71,76,67,79,86,84,82,71,72,82,48,76,59,77,58,21,70,71,83,68,39,31,27
808,194845,26,182.0,76.0,78,76,79,76,79,43,68,3,4,High,Medium,79,77,52,76,65,79,80,83,69,80,74,77,80,75,67,81,44,68,68,84,74,61,77,77,75,72,26,49,30
823,189682,27,180.0,74.0,78,66,37,58,65,77,82,2,3,Medium,High,67,27,77,61,29,63,38,31,65,65,66,66,66,74,72,60,91,79,83,39,79,77,30,50,36,71,78,77,78
830,189157,28,188.0,84.0,78,87,68,68,84,31,78,5,4,High,High,75,64,51,71,51,87,62,49,67,82,86,87,82,74,76,81,64,76,82,71,76,31,69,65,65,69,27,34,17
831,188879,27,187.0,82.0,78,72,54,64,67,76,86,2,3,Medium,High,58,46,55,76,31,65,36,32,70,74,66,76,60,74,57,73,62,79,93,63,85,80,46,61,54,68,75,83,75
844,186805,27,172.0,74.0,78,90,68,73,82,31,65,4,3,High,High,74,65,50,74,64,83,76,64,70,80,91,90,84,70,85,76,69,77,68,68,40,25,73,73,68,77,24,38,20
848,186115,27,179.0,70.0,78,79,55,70,74,77,72,3,2,High,Medium,76,47,68,74,47,74,64,52,65,75,77,80,73,77,74,67,71,77,69,60,72,78,63,65,63,75,76,79,78
849,184134,29,183.0,76.0,78,64,61,68,68,79,82,2,2,Medium,High,62,54,70,76,41,65,65,53,71,72,64,64,71,77,57,76,74,82,81,68,87,82,59,62,54,76,76,81,81
855,183125,29,183.0,90.0,78,65,81,65,69,35,85,3,3,High,Medium,55,80,82,73,78,65,68,36,60,75,64,65,65,74,73,86,82,77,92,78,80,29,77,73,80,78,33,29,25
859,182744,33,185.0,81.0,78,80,67,70,74,76,82,3,2,High,Medium,79,57,74,73,50,73,69,71,69,75,78,81,74,71,75,85,74,82,79,78,89,68,69,54,57,77,78,79,80
863,180283,28,186.0,79.0,78,65,74,81,75,63,70,3,4,Medium,High,74,72,71,86,55,75,76,77,81,81,61,68,70,67,59,83,70,71,72,72,66,54,73,81,76,81,55,70,71
877,170815,29,175.0,72.0,78,69,71,78,77,74,74,3,3,Medium,Medium,76,67,62,79,68,76,77,76,77,79,70,68,74,78,79,76,71,77,69,74,81,82,72,80,71,81,73,73,71
879,169706,28,185.0,69.0,78,59,62,75,74,76,79,2,4,Medium,High,66,60,73,80,60,75,73,58,78,77,61,58,63,79,71,72,73,84,80,56,72,80,70,76,58,80,73,78,76
901,161805,32,185.0,78.0,77,63,64,72,71,74,79,2,4,Medium,High,69,56,68,75,69,69,70,69,72,74,63,63,70,77,67,76,70,77,77,69,90,75,63,73,72,76,69,78,78
948,197681,24,186.0,77.0,77,72,61,73,80,62,72,3,2,High,Medium,62,51,62,83,28,84,65,38,76,81,73,71,72,66,69,79,69,78,72,77,65,64,75,76,29,79,60,62,59
952,198198,25,185.0,83.0,77,68,48,53,57,76,76,2,3,Low,High,31,34,74,68,28,50,40,36,52,65,63,72,59,70,58,75,78,66,79,65,82,71,30,59,28,69,78,77,80
961,213051,24,180.0,70.0,77,60,61,73,70,72,78,3,3,Medium,High,67,57,57,79,39,68,69,61,73,76,58,61,67,75,62,71,70,92,73,67,74,76,63,70,62,77,70,75,72
963,194365,31,173.0,78.0,77,74,74,69,78,47,75,3,4,High,High,66,74,74,76,76,77,53,50,66,78,76,73,83,84,71,77,91,79,69,68,80,45,82,69,74,70,35,55,34
966,198719,23,173.0,69.0,77,87,69,70,82,24,52,4,3,High,Medium,72,69,33,72,55,83,69,65,63,79,89,86,91,65,86,71,50,72,47,71,38,22,74,72,57,70,18,26,30
974,179527,30,185.0,80.0,77,76,76,65,73,33,69,4,3,Medium,Medium,60,78,76,68,70,73,66,51,60,72,74,77,75,77,64,76,83,66,74,74,59,48,81,71,76,76,23,24,21
988,185422,25,180.0,74.0,77,90,77,60,76,29,70,3,3,Medium,Medium,63,82,63,68,67,77,69,42,48,74,87,92,78,72,71,78,72,73,77,69,50,33,77,56,72,72,22,26,19
1000,153177,30,176.0,76.0,77,77,79,68,85,33,65,4,4,Medium,Low,66,78,56,72,78,86,81,79,60,87,79,75,87,75,74,80,69,68,62,82,66,38,77,63,70,72,22,34,30
1002,183130,27,175.0,74.0,77,79,69,74,77,47,70,3,3,High,High,83,69,42,69,72,77,82,73,73,77,79,79,79,71,81,72,62,86,62,67,73,56,73,74,60,72,41,50,45
1003,194138,26,180.0,78.0,77,89,76,62,72,29,78,3,3,High,Medium,61,80,65,66,67,72,57,39,54,70,90,89,78,72,75,80,72,79,81,64,70,33,79,67,74,71,22,23,20
1034,105846,37,193.0,87.0,77,77,73,62,82,38,77,1,3,Medium,Medium,12,11,11,25,13,14,13,19,34,18,37,39,40,72,40,21,73,31,69,15,38,25,17,40,21,65,13,20,20
1048,140415,34,167.0,65.0,77,46,53,77,78,69,63,3,3,Low,Medium,65,55,41,85,47,76,61,58,79,81,47,46,76,78,91,51,70,68,55,48,77,73,55,82,59,84,70,75,69
1053,183427,27,174.0,60.0,77,74,69,73,82,68,75,3,3,High,High,69,63,53,80,59,83,72,48,75,79,76,72,89,72,86,80,68,88,66,73,82,75,71,72,65,76,63,73,71
1057,204935,23,185.0,77.0,77,77,76,85,82,44,73,1,3,Medium,Medium,17,19,15,50,20,14,18,16,53,38,48,41,33,68,46,31,59,44,50,13,23,24,18,66,41,51,14,20,12
1065,184716,27,168.0,62.0,77,62,63,73,77,70,70,3,3,Medium,Medium,68,68,44,82,38,75,58,50,75,77,65,60,78,82,90,63,78,86,59,60,74,76,69,72,52,81,68,77,70
1077,184469,27,176.0,70.0,77,67,72,74,74,67,77,3,5,High,High,62,70,49,82,63,72,64,70,77,76,67,67,75,73,76,76,71,77,75,75,84,71,68,75,68,73,64,74,66
1094,182945,29,177.0,70.0,77,85,73,71,80,44,60,4,3,Medium,Medium,73,73,66,74,70,82,68,74,64,77,86,85,84,76,70,73,68,71,55,71,59,51,74,70,75,76,38,40,35
1095,158626,31,177.0,76.0,77,69,65,73,73,77,73,3,3,High,Medium,79,59,74,75,62,72,74,61,73,73,71,68,74,74,74,74,81,70,71,68,79,74,63,64,66,75,78,78,78
1098,13732,36,187.0,90.0,77,34,47,57,50,79,73,2,4,Medium,High,42,46,83,66,55,45,44,31,64,59,33,34,42,73,46,61,80,50,83,33,75,78,38,59,52,82,81,77,76
1104,186537,30,184.0,72.0,77,69,75,67,71,46,79,3,3,Medium,Low,68,76,79,69,73,71,66,57,59,72,70,68,66,81,63,79,83,83,77,69,77,36,80,69,80,77,39,49,42
1107,152747,30,165.0,63.0,77,83,64,71,82,38,62,3,3,High,Medium,78,65,28,76,68,82,63,55,54,80,84,82,91,74,91,64,70,70,59,57,57,42,71,73,62,77,40,37,37
1109,172203,29,201.0,93.0,77,74,78,69,80,34,76,1,5,Medium,Medium,19,13,13,27,19,20,10,19,19,33,32,35,32,70,42,36,59,29,80,12,43,22,13,44,22,34,13,13,12
1110,178091,27,186.0,90.0,77,73,74,57,72,27,83,2,3,High,High,50,74,84,71,67,75,58,48,29,75,67,77,57,71,47,81,76,73,93,69,73,21,74,62,68,71,15,25,20
1112,136113,33,186.0,101.0,77,37,30,41,57,77,82,2,3,Medium,Medium,17,19,77,56,23,58,14,18,47,61,33,41,29,76,51,52,76,70,89,35,79,76,39,49,17,66,77,78,74
1114,163761,32,188.0,89.0,77,64,38,48,54,77,76,2,3,Medium,Medium,25,35,78,59,33,43,26,25,55,65,64,64,62,75,56,49,80,65,84,34,68,79,42,56,33,72,76,77,77
1131,208330,22,182.0,75.0,77,79,66,75,81,21,50,4,4,Medium,Low,74,69,23,77,67,84,70,65,75,81,82,76,84,70,65,58,61,55,54,67,31,21,69,76,60,67,20,22,22
1136,187084,29,185.0,79.0,77,83,75,61,68,65,81,3,3,Medium,Medium,62,77,84,67,71,65,39,36,55,70,81,85,74,76,66,80,92,84,80,64,77,64,78,66,75,73,64,64,58
1146,151508,32,173.0,70.0,77,64,61,77,77,67,74,3,3,High,High,75,58,53,81,64,76,73,69,77,77,65,63,77,80,76,63,82,86,67,63,74,67,68,75,62,84,66,71,67
1156,182495,30,180.0,78.0,77,74,51,63,64,79,75,2,3,Medium,High,68,37,76,65,65,60,68,41,65,64,74,74,79,70,74,70,91,72,74,59,76,80,50,58,50,76,80,78,77
1158,157665,30,188.0,78.0,77,45,40,52,49,78,77,2,3,Low,Medium,30,40,85,63,29,38,30,29,65,63,44,45,49,76,54,52,69,73,82,32,73,79,36,55,30,71,76,78,78
1161,226790,20,183.0,74.0,77,74,60,65,67,78,80,2,4,Medium,High,50,50,73,74,66,63,57,58,69,73,72,75,69,74,65,78,78,88,78,70,76,80,62,65,35,73,74,83,79
1164,152554,31,176.0,65.0,77,79,43,65,73,75,68,2,4,Medium,Medium,73,34,70,66,59,71,64,38,69,76,77,81,77,72,75,52,70,82,66,43,55,76,66,59,45,73,72,78,76
1169,186351,27,188.0,90.0,77,71,75,72,75,70,81,3,4,Medium,Low,68,71,80,79,66,78,49,44,76,75,70,72,71,73,51,85,91,90,75,78,80,70,75,73,72,72,66,70,69
1171,199667,26,186.0,78.0,77,68,49,61,65,76,78,2,3,Medium,Medium,73,40,80,67,25,63,49,58,55,68,66,70,65,71,61,69,78,72,79,56,83,74,49,47,52,64,75,78,76
1172,193011,26,185.0,82.0,77,56,27,52,60,77,77,2,3,Medium,High,40,24,74,72,31,54,22,22,62,68,60,53,56,75,69,47,73,68,82,16,77,76,15,35,20,70,78,78,75
1176,188155,27,185.0,80.0,77,74,63,70,74,74,81,3,3,High,Medium,77,55,70,70,67,74,64,56,68,76,72,75,71,79,63,76,71,92,75,64,84,73,68,70,62,66,74,77,75
1181,199422,26,169.0,66.0,77,63,66,76,75,66,73,2,4,Medium,High,66,55,27,81,73,70,78,70,76,82,65,62,74,79,90,80,56,73,69,74,85,80,65,77,64,72,64,73,61
1185,203263,24,194.0,100.0,77,46,37,56,61,77,82,2,3,High,High,41,30,77,69,27,64,29,46,65,64,40,51,38,67,55,54,71,72,90,34,75,74,52,50,40,71,77,78,75
1188,169216,30,178.0,70.0,76,83,72,60,74,37,80,3,2,High,High,70,73,75,62,70,73,54,37,49,75,84,82,73,77,73,76,93,80,78,67,80,42,77,63,72,70,36,27,24
1189,204289,23,180.0,82.0,76,79,77,57,76,27,61,3,4,Medium,Medium,51,80,67,62,68,76,63,61,55,77,82,77,73,71,71,81,62,64,64,68,47,33,79,54,73,70,20,18,23
1192,177922,29,180.0,78.0,76,85,72,72,76,34,61,3,3,Medium,Low,73,72,69,74,69,78,68,64,71,74,89,81,80,70,70,74,62,66,66,71,43,48,75,71,69,68,21,29,20
1211,195859,24,178.0,73.0,76,82,74,64,77,35,71,3,3,High,High,62,77,71,69,66,77,57,36,61,76,83,82,77,74,79,74,81,75,73,67,60,39,79,68,68,70,33,24,27
1218,210972,23,178.0,76.0,76,76,45,65,71,73,72,2,3,High,Medium,79,32,63,73,37,71,75,51,66,73,78,74,74,69,64,69,68,89,66,44,67,69,69,39,46,64,73,78,75
1222,189725,27,175.0,67.0,76,67,69,75,75,58,65,3,3,Medium,Medium,74,64,48,78,68,74,59,62,77,77,64,70,72,77,77,74,62,73,58,75,71,65,74,77,72,69,47,71,52
1228,179746,27,188.0,90.0,76,58,77,64,71,43,83,2,3,High,Medium,59,78,81,68,70,71,61,46,60,77,57,59,53,74,60,80,86,79,86,71,80,42,78,70,79,75,42,38,29
1232,178213,28,190.0,87.0,76,58,70,70,73,74,76,2,3,Medium,Medium,70,70,70,77,67,76,61,30,77,77,62,55,48,78,63,76,74,85,77,69,65,71,73,67,52,77,75,75,73
1247,186672,31,191.0,84.0,76,63,56,67,68,78,77,2,3,Medium,Medium,60,51,73,73,56,69,60,60,66,70,62,63,60,71,53,65,77,79,76,56,77,78,62,70,63,80,76,81,77
1248,197937,28,193.0,82.0,76,70,47,52,50,75,81,2,3,Medium,Medium,22,32,74,65,23,42,27,60,73,61,68,71,48,62,47,77,75,68,86,66,88,72,38,50,27,51,71,78,83
1249,139313,31,187.0,89.0,76,62,69,77,71,76,77,3,2,Medium,Medium,83,57,76,76,70,70,86,78,75,75,63,62,66,75,60,83,76,79,75,79,78,76,72,73,68,70,74,77,77
1267,200765,24,180.0,80.0,76,68,50,64,74,76,76,2,3,Medium,High,45,51,67,75,41,71,52,57,69,78,65,71,76,72,75,55,82,69,75,48,84,77,46,65,48,76,74,77,81
1278,169792,27,185.0,80.0,76,77,75,68,76,32,67,3,4,High,Medium,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21
1319,186200,26,180.0,74.0,76,77,74,70,76,28,69,3,3,High,Medium,72,76,75,75,75,77,65,61,62,75,77,77,78,77,64,76,71,73,66,66,70,30,78,71,81,74,13,26,24
1338,192613,30,203.0,110.0,76,73,76,67,77,45,78,1,2,Medium,Medium,19,11,16,38,13,15,15,12,36,22,48,42,33,69,22,14,34,31,78,15,40,27,12,38,21,65,14,19,17
1370,197756,25,182.0,81.0,76,76,74,70,79,37,74,4,3,Medium,Low,70,73,76,74,74,80,77,71,60,78,75,77,79,76,75,76,72,74,74,74,75,35,72,70,74,70,23,42,30
1388,220295,27,174.0,74.0,76,85,76,66,74,43,70,3,3,High,Medium,70,75,74,68,61,75,71,65,63,72,86,85,76,72,74,84,90,85,68,74,50,42,73,62,70,75,37,40,42
1389,169607,29,178.0,76.0,76,65,57,67,67,75,81,2,3,Low,High,61,49,66,72,58,64,57,58,75,72,66,65,64,70,71,74,65,79,78,59,93,75,47,65,64,67,72,80,81
1417,182168,29,195.0,81.0,76,43,32,57,58,78,75,2,3,Medium,Medium,45,22,75,67,24,58,30,34,65,67,39,47,44,60,31,59,74,67,82,31,66,79,24,60,34,69,76,80,76
1421,186521,27,192.0,84.0,76,54,44,59,49,75,77,2,3,Medium,High,51,39,77,73,44,40,51,42,61,63,51,57,53,62,42,56,75,60,84,42,79,74,33,49,52,70,75,77,73
1424,201884,25,175.0,69.0,76,81,71,75,76,65,69,3,4,High,Medium,80,68,59,71,66,76,81,79,75,75,83,79,77,74,78,77,75,77,69,74,58,66,72,76,72,74,62,68,71
1425,212125,23,175.0,65.0,76,90,65,68,82,41,54,4,3,Medium,Medium,68,66,58,71,68,83,79,62,57,81,89,91,88,73,79,65,66,61,55,60,41,49,73,71,70,76,32,39,37
1473,202695,24,191.0,81.0,76,64,43,61,64,75,79,2,4,Medium,Medium,56,36,75,68,40,62,51,57,69,67,63,65,62,71,60,63,80,76,82,38,76,74,40,53,52,74,75,76,75
1475,204233,20,173.0,66.0,76,87,65,70,83,23,49,5,5,Medium,Medium,72,66,39,73,52,83,67,56,70,80,89,86,92,72,85,70,44,66,47,62,32,21,68,67,55,66,21,20,22
1478,135883,32,183.0,90.0,76,65,43,69,67,76,76,2,4,High,Medium,75,25,69,73,26,66,51,61,67,73,62,67,58,73,58,64,57,72,81,62,75,71,55,62,44,71,77,79,77
1481,198861,25,168.0,68.0,76,71,55,71,74,73,76,3,3,Medium,Medium,67,49,65,79,43,70,69,48,73,78,72,70,78,73,86,62,79,81,72,64,79,74,55,66,55,70,74,74,75
1487,199633,28,180.0,78.0,76,75,60,69,73,74,77,2,3,High,High,75,52,71,72,70,72,68,46,63,74,76,75,72,76,71,72,77,81,75,68,76,74,62,68,49,74,73,74,76
1503,206304,26,186.0,80.0,76,62,62,70,66,74,81,3,2,Medium,Medium,59,54,74,76,42,63,64,75,75,72,61,63,60,73,58,75,64,89,77,72,85,75,65,68,62,73,75,73,68
1547,205566,24,171.0,65.0,76,88,65,68,78,68,74,2,3,High,Low,78,59,61,74,35,76,59,40,64,79,87,88,86,69,87,80,85,85,64,74,83,69,69,58,54,63,63,72,76
1550,192766,25,179.0,72.0,76,58,43,65,66,76,72,2,3,Medium,Medium,67,42,70,72,32,63,66,40,56,73,51,64,62,70,66,46,83,73,68,37,78,78,61,61,50,73,74,78,77
1577,54033,30,188.0,80.0,75,43,71,79,66,70,71,3,5,Low,Medium,76,60,72,81,79,64,68,74,79,82,34,50,33,73,44,89,56,39,87,75,77,74,63,80,72,80,70,68,66
1579,184082,28,186.0,83.0,75,59,38,53,53,74,82,2,2,Medium,Medium,60,34,78,59,29,46,39,28,50,62,53,64,51,71,48,55,63,71,90,29,81,75,54,45,31,64,71,77,69
1590,208920,22,180.0,75.0,75,76,49,67,66,75,74,2,3,Medium,Medium,64,41,69,75,52,63,63,59,72,69,75,76,66,73,63,63,78,75,76,56,67,76,44,53,48,68,75,77,74
1600,200478,25,185.0,79.0,75,72,68,74,75,70,78,3,3,Medium,Medium,70,67,68,77,68,76,73,64,76,74,74,70,71,72,77,71,76,79,78,69,75,75,72,74,63,77,68,71,69
1605,163873,34,187.0,88.0,75,75,74,71,75,45,78,1,3,Medium,Medium,13,20,12,22,11,11,11,14,32,32,46,44,60,68,58,38,75,20,72,18,28,24,11,42,37,53,13,20,20
1613,54051,32,170.0,77.0,75,72,66,70,81,36,61,4,2,High,High,74,69,34,73,71,83,61,28,72,77,71,72,79,73,87,68,71,68,67,55,36,39,72,74,63,69,30,37,46
1646,137782,32,182.0,78.0,75,71,63,72,76,73,72,3,4,High,Low,75,54,68,75,56,78,69,54,70,77,74,69,72,74,67,79,77,71,72,70,71,68,69,69,60,72,75,76,77
1678,188484,26,185.0,73.0,75,83,72,58,74,29,71,3,3,Medium,Low,46,73,73,67,72,74,77,60,47,73,85,82,81,74,68,73,73,69,76,68,59,24,74,57,77,74,19,29,22
1688,205897,22,185.0,76.0,75,67,61,70,74,73,73,2,3,Medium,Medium,58,55,71,78,53,74,51,38,79,76,69,65,74,69,65,75,71,72,75,67,72,70,62,76,49,68,72,77,73
1698,208461,26,185.0,76.0,75,69,66,69,68,76,80,2,3,Medium,Medium,63,62,71,75,62,65,57,43,73,72,69,69,62,79,70,74,79,89,77,68,77,81,69,72,60,76,71,78,75
1702,186190,26,176.0,67.0,75,86,63,67,74,70,72,3,2,High,Medium,63,61,64,73,53,74,38,61,74,72,87,86,77,75,78,70,86,84,65,64,73,67,73,64,46,65,65,76,75
1721,201818,24,171.0,66.0,75,93,75,62,78,28,57,4,3,High,Medium,67,77,64,64,72,77,60,48,52,76,95,92,88,77,85,77,75,89,48,71,33,24,75,66,69,72,20,28,24
1723,163418,31,193.0,87.0,75,52,44,56,55,74,79,2,3,High,Medium,56,21,80,64,34,52,44,43,54,59,46,57,53,66,46,82,78,67,85,56,81,74,51,51,54,65,72,75,74
1739,2147,34,197.0,92.0,75,76,73,79,75,41,72,1,4,Medium,Medium,18,11,14,39,11,12,13,13,37,31,35,45,35,73,27,13,55,30,77,11,41,26,13,41,23,63,18,15,14
1748,190824,25,179.0,73.0,75,83,55,71,76,70,71,3,3,High,Medium,73,42,60,73,55,75,72,60,68,74,85,82,83,72,79,72,60,84,66,66,70,69,75,69,42,66,71,72,72
1752,192362,26,177.0,77.0,75,91,65,67,76,24,58,4,3,Medium,Low,76,70,40,71,62,76,69,59,42,76,91,91,80,74,77,65,34,71,65,54,28,20,73,72,58,71,19,28,22
1769,196978,25,180.0,66.0,75,90,73,63,74,34,76,3,3,High,Medium,52,79,62,70,65,73,62,45,60,75,92,89,78,70,77,69,66,75,78,64,73,40,77,71,75,78,20,39,25
1776,190324,26,188.0,84.0,75,73,50,49,62,74,79,2,3,Medium,High,47,49,74,60,52,59,34,27,57,64,71,74,63,71,59,57,79,77,81,44,75,74,58,36,53,64,73,75,78
1783,173436,29,167.0,62.0,75,83,72,67,80,38,63,4,3,High,High,64,73,32,74,52,80,58,42,65,77,85,82,85,67,93,75,72,72,55,74,69,35,72,66,70,67,33,45,48
1791,169600,30,176.0,80.0,75,69,38,61,67,77,76,2,3,Low,High,68,27,71,64,50,64,44,32,60,69,70,68,65,76,80,37,79,79,72,54,79,77,58,63,54,67,78,77,76
1805,178567,28,183.0,84.0,75,66,40,65,67,78,78,2,2,Medium,Medium,58,32,73,75,34,64,67,56,60,73,63,69,65,71,57,51,68,75,77,36,85,77,61,61,65,67,77,80,81
1810,189067,31,190.0,85.0,75,50,34,50,52,76,74,2,3,Medium,Medium,43,37,75,60,22,47,47,52,64,58,48,51,49,68,54,30,83,62,79,31,76,75,24,31,51,66,75,78,76
1812,189324,27,193.0,79.0,75,76,73,61,78,57,74,1,2,Medium,Medium,11,17,16,33,12,17,15,18,35,17,58,56,35,69,43,20,68,35,63,14,35,22,16,50,41,63,13,13,12
1816,213648,21,185.0,84.0,75,64,61,73,75,69,77,3,4,Medium,Medium,66,52,60,76,60,75,69,70,74,77,65,64,71,75,65,78,64,79,77,68,78,74,62,74,51,69,65,73,64
1824,212883,22,186.0,79.0,75,73,60,63,70,72,86,2,3,Medium,High,49,46,74,76,68,69,44,32,71,72,70,76,68,76,69,83,86,89,85,71,84,72,42,60,51,70,70,74,72
